cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,IPC,CPI
2034034907,3298818489,19741064,10406231,30157656,58209406,1400503,1290236,19180646,320218,193697,420078,15761246,3536771,22624560,1.62,0.616594976
2153572737,3457356265,18052692,10673506,35417318,61969633,1384139,1519014,17317176,325327,267696,511097,14185018,4030087,22378976,1.61,0.622895812
2190678648,3336633751,21728898,10493882,35716566,56356140,1002092,915374,21827698,270538,107161,412512,17057534,4080268,21656347,1.52,0.656553524
1895709406,3000174678,15747495,9566801,28422241,49590248,1146437,1396277,16761893,239814,241452,450166,13715661,3536878,17458041,1.58,0.631866344
2144319118,3204927108,16021962,11801044,31848403,56276627,1531734,1637445,15939027,286654,190208,408677,13487715,3520438,18970932,1.49,0.669069544
1882106759,3089894948,15418805,9952350,27897028,44950592,1056121,1318378,16593872,257715,177461,343502,10463425,3580595,15722080,1.64,0.609116747
2128677672,3490321375,17058450,10529529,29316380,75636352,1320113,1754673,18224839,270992,222698,523543,15104539,3468295,18275277,1.64,0.609880135
2169004160,3235807851,18262007,11003460,29356853,61052432,1426387,1624560,15822097,285167,242100,388357,14489574,3722233,22549682,1.49,0.670313028
2230073599,2883718397,21177847,10463067,29091226,61915668,1004461,985168,20113348,281044,178708,502491,18296215,3127768,24789383,1.29,0.773332653
2150557936,3616964159,19042175,9502151,35181542,54536244,949160,1335181,21111618,260197,139292,450650,13621421,3403551,19419162,1.68,0.594575407
2087726149,3237394753,19748723,9573074,32842437,50242681,834865,1015067,19775219,255898,136253,395631,15582959,3580592,21164136,1.55,0.644878462
2124196540,3214871857,18413003,10361346,30191154,62033624,1075869,1479879,18331598,263653,202208,447391,14587018,3280644,20291690,1.51,0.660740656
1696159344,2629464874,14431163,8938115,27866474,45495928,1096944,1349527,16240418,318113,222387,402417,14332824,3451100,16845339,1.55,0.645058757
2183103470,3371878714,17209480,11460431,30635666,64694331,1271648,1611053,16223103,292266,228581,481090,14205834,3392641,20490475,1.54,0.647444246
2058499617,3123032244,15497169,11424054,23562072,52745127,1546805,1345662,14608834,328615,226169,514023,16817744,3422955,19747789,1.52,0.659134923
1905045665,3356619852,11965425,10659174,25156691,64767161,1443101,1821761,11170244,290549,265629,372251,10266367,3328981,15187137,1.76,0.567548829
2227086539,3264456627,15590710,11381223,29841707,61823266,1750437,1757761,14814960,352529,278543,484830,15959026,4203621,22137784,1.47,0.682222738
2195140300,3498114200,19410201,10408879,35211759,54472282,1036411,1261678,20076835,272951,167532,437097,14025433,3718810,21833175,1.59,0.627521051
