cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,l2_rqsts.swpf_miss:u,page-faults:u,mem-stores:u,l1d_pend_miss.pending:u,frontend_retired.itlb_miss:u,IPC,CPI
434867252,1515539118,1949595,155327,2518331,2989517,10528,3908,1967431,1623,485,85,45078,29108,89525,131137,10941,61039,131137,8617,16357,8949,3109855,1171,0,95955512,16245960,6448,3.485061501,0.286938982
452190827,1575968467,2214615,125040,2258032,2904306,9624,4599,2168893,1307,503,534,66818,27774,89471,66581,4909,24041,66581,6162,15587,7339,2929303,1095,0,101774217,12180357,1623,3.485184513,0.286928855
452160010,1576601815,1996016,154216,2353852,2539633,8587,50234,2018653,1758,4605,656,72867,44848,133920,118678,11868,49947,118678,9295,19124,10065,2958090,1866,0,93141951,17381219,3726,3.486822762,0.286794044
444734032,1550720391,1901795,236554,2476243,3478404,15650,7496,2013716,1970,1215,703,68388,26116,72625,77907,6455,68218,77907,9162,28628,12973,3890881,1742,0,97849941,16677021,4231,3.486848947,0.28679189
445364538,1555054940,1979508,190967,2520795,2415696,28994,35163,1703289,2665,776,245,71799,61728,112217,96449,18067,17860,96449,6087,13226,6712,2714851,864,0,96282295,19258737,4724,3.491645174,0.286397944
455130602,1589364903,2072054,239087,2470623,3628392,13903,7880,2102821,1978,5014,501,75031,42054,119567,450663,72826,78185,450663,12375,26430,10402,3531064,1528,0,98613173,16309965,1593,3.492107312,0.286360043
444937857,1553807415,2025234,168983,2412470,2758159,10079,3677,2248481,1467,495,160,53039,26944,77301,94475,3362,28566,94475,7470,15141,8002,2691606,1039,0,96123964,17677062,4383,3.492189731,0.286353285
452298444,1580747707,2137507,121925,2163315,3425268,8213,4138,2229710,891,611,50,30330,23221,62017,183971,3970,48715,183971,10439,14728,13824,3124780,1053,0,101502248,11371709,2304,3.494921833,0.286129432
448431409,1567440333,2216887,153717,2651437,3271320,11962,4156,2224549,1528,626,185,52540,40007,107437,105382,13278,43966,105382,8913,19224,8831,3762445,1152,0,86732194,16187612,4841,3.495384805,0.286091534
433498629,1515250146,1869282,179013,2696645,2773503,11021,4190,1932502,2835,546,175,62663,50859,118077,87936,20604,34094,87936,11210,17735,10521,2776591,1308,0,94780643,22496816,7836,3.495397781,0.286090472
