cycles:u,instructions:u,branch-misses:u,cache-misses:u,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss:u,l2_rqsts.demand_data_rd_miss:u,l2_rqsts.all_demand_miss:u,dtlb_load_misses.walk_pending:u,itlb_misses.walk_pending:u,dtlb_store_misses.walk_pending:u,dtlb_load_misses.walk_pending:u,offcore_requests.l3_miss_demand_data_rd:u,ocr.hwpf_l2_rfo.l3_miss:u,ocr.demand_data_rd.l3_miss:u,icache_64b.iftag_miss:u,IPC,CPI
457040997,800557970,4850715,901504,1435222,811533,246615,995,4031707,153410,90,1467,26678,334080,352062,24881994,68965,8108,24881994,294849,926,282544,759004,1.751610852,0.570903063
454843780,797123595,4332608,968661,1508115,1429947,222032,813,4583618,150565,180,1723,18921,372981,407338,13345636,65463,16775,13345636,230987,2930,240148,1470613,1.752521701,0.570606344
456582175,800479144,4630384,972107,1441855,662724,249592,256,4459089,137552,365,1953,24921,359060,410018,18703675,171969,21724,18703675,250890,1677,305703,763141,1.753198412,0.570386097
454157371,797606282,3910139,1022002,1337705,1043103,297909,1243,4017642,154011,265,661,19132,356568,382784,18265371,48098,5410,18265371,241838,1330,261123,980987,1.756233264,0.569400444
453132445,796582509,3827291,1049797,1510649,813596,317007,779,4068514,190099,140,3072,40536,373098,411525,15704989,116800,11999,15704989,295188,5285,311130,822369,1.757946309,0.568845587
457200027,804536368,5026591,919383,1523872,831744,250513,247,4980436,174921,175,1041,27105,372255,400972,13358560,117089,8663,13358560,261131,843,259595,865886,1.759703238,0.568277638
455040893,801342080,4273096,998252,1469372,1002014,279795,447,4267048,157782,140,876,19233,335634,362920,36607601,140983,7569,36607601,285272,1133,298232,881257,1.761033112,0.567848494
453232887,798319448,3763899,816255,1243434,975779,239813,430,3989684,140948,95,1057,20013,332421,351971,15676327,91184,15197,15676327,180617,918,192202,993905,1.761389058,0.567733741
451172778,795181114,4151071,897235,1455579,736830,265420,306,4477177,159780,90,1227,24047,342774,355532,22961905,97601,6412,22961905,242565,726,259812,838921,1.762475825,0.567383669
454257818,801250662,4195751,876218,1223780,1110691,259921,1653,4219695,140451,40402,5362,57886,279845,2934524,45616794,62251,11447,45616794,274666,3407,262729,1045685,1.763867633,0.566935966
